"base_oecd","base_countr","gender","basc_acadag","cluster6","count"
"Agricultural_Sciences","Algeria","fem","10-14","BT",2
"Agricultural_Sciences","Algeria","fem","10-14","ML",1
"Agricultural_Sciences","Algeria","mal","10-14","BT",3
"Agricultural_Sciences","Algeria","mal","10-14","LW",1
"Agricultural_Sciences","Algeria","mal","10-14","ML",1
"Agricultural_Sciences","Algeria","mal","10-14","MH",1
"Agricultural_Sciences","Algeria","mal","10-14","TP",1
"Agricultural_Sciences","Algeria","unkn","10-14","BT",1
"Agricultural_Sciences","Argentina","fem","10-14","BT",52
"Agricultural_Sciences","Argentina","fem","10-14","LW",17
"Agricultural_Sciences","Argentina","fem","10-14","ML",21
"Agricultural_Sciences","Argentina","fem","10-14","MH",12
"Agricultural_Sciences","Argentina","fem","10-14","HG",8
"Agricultural_Sciences","Argentina","fem","10-14","TP",2
"Agricultural_Sciences","Argentina","mal","10-14","BT",37
"Agricultural_Sciences","Argentina","mal","10-14","LW",11
"Agricultural_Sciences","Argentina","mal","10-14","ML",20
"Agricultural_Sciences","Argentina","mal","10-14","MH",9
"Agricultural_Sciences","Argentina","mal","10-14","HG",6
"Agricultural_Sciences","Argentina","mal","10-14","TP",5
"Agricultural_Sciences","Argentina","unkn","10-14","BT",10
"Agricultural_Sciences","Argentina","unkn","10-14","LW",2
"Agricultural_Sciences","Argentina","unkn","10-14","ML",1
"Agricultural_Sciences","Argentina","unkn","10-14","MH",1
"Agricultural_Sciences","Argentina","unkn","10-14","HG",1
"Agricultural_Sciences","Australia","fem","10-14","BT",43
"Agricultural_Sciences","Australia","fem","10-14","LW",26
"Agricultural_Sciences","Australia","fem","10-14","ML",27
"Agricultural_Sciences","Australia","fem","10-14","MH",19
"Agricultural_Sciences","Australia","fem","10-14","HG",18
"Agricultural_Sciences","Australia","fem","10-14","TP",19
"Agricultural_Sciences","Australia","mal","10-14","BT",104
"Agricultural_Sciences","Australia","mal","10-14","LW",44
"Agricultural_Sciences","Australia","mal","10-14","ML",44
"Agricultural_Sciences","Australia","mal","10-14","MH",42
"Agricultural_Sciences","Australia","mal","10-14","HG",40
"Agricultural_Sciences","Australia","mal","10-14","TP",35
"Agricultural_Sciences","Australia","unkn","10-14","BT",40
"Agricultural_Sciences","Australia","unkn","10-14","LW",17
"Agricultural_Sciences","Australia","unkn","10-14","ML",11
"Agricultural_Sciences","Australia","unkn","10-14","MH",8
